Q0_Similar_List:6643527,1015257,1198433,699571,669257,905120,354479,1107689,944425
Q10_Similar_List:6688368,1422130,1378606,1216223,660094,1581066,695713,6708819,675708
Q11_Similar_List:6690661,6669915,6673622,95507,1141570,6767680,817358,1541394,1149534
Q12_Similar_List:6693021,6667226,1240326,1273346,1011416,6649324,818056,805755,908129
Q13_Similar_List:6695531,1417829,563356,1516065,1549728,6769089,726919,1517569,558906
Q14_Similar_List:6699160,910232,1040521,606723,6755903,1110253,551792,6631750,728262
Q15_Similar_List:6702148,1125671,1036908,610190,6711066,573106,204152,6615776,1451150
Q16_Similar_List:6704493,1307422,1358615,6701925,674869,644557,1446762,632972,676013
Q17_Similar_List:6707913,562042,559893,559902,109516,564629,300525,6778382,1596208
Q18_Similar_List:6710438,492198,1473184,6709667,598084,644144,931432,592009,1427215
Q19_Similar_List:6712779,1215505,862971,1412596,1376290,387137,1071159,1378543,1379258
Q1_Similar_List:665736,589655,496101,601125,589877,534685,54713,204254,620064
Q20_Similar_List:6715137,1451150,1077109,6609088,6646280,364821,513104,1393259,6608906
Q21_Similar_List:6716968,1209833,910312,122163,775311,1168146,1483972,258235,6701229
Q22_Similar_List:6719913,219157,219158,219159,282616,1086065,6721427,1261539,294742
Q23_Similar_List:6722884,6755170,1062444,1164425,1454073,1486494,844377,939756,1177614
Q24_Similar_List:6724618,6716373,739995,1576205,6614887,6666976,6666978,999990,1286502
Q25_Similar_List:6726887,748253,1436262,6693359,6761971,97708,1533830,558906,1109981
Q26_Similar_List:6730384,485832,328669,59059,1228013,1354088,1103018,312522,6675372
Q27_Similar_List:6732760,792421,6712026,1224464,6677571,278772,6691127,1455275,1321414
Q28_Similar_List:6734653,6785944,1089273,1515537,6720992,571556,1466197,502899,559930
Q29_Similar_List:673702,813709,630126,916466,130812,761771,513633,534601,496101
Q2_Similar_List:665973,786560,192192,521595,182452,952711,674047,628339,366022
Q30_Similar_List:673977,1161182,1061986,1382278,1480046,1025134,1450098,1382247,695316
Q31_Similar_List:6742673,568945,947665,6639020,1261815,6654587,1257683,1312455,1546993
Q32_Similar_List:6746453,1495954,6684758,1441831,6744791,1365401,1503112,1430429,995452
Q33_Similar_List:6749125,6711003,6666939,611528,1431937,1454908,1433275,1390024,501351
Q34_Similar_List:6752102,1286026,504550,1501432,1181115,1181088,1181501,6668189,1261083
Q35_Similar_List:6755595,569978,686635,1120971,1394036,6710449,1077046,1474704,726982
